Site100,Site100,15.6375491,32.4991268,3,100
Site101,Site101,16.6375491,33.4991268,3,101
Site102,Site102,17.6375491,34.4991268,3,102
Site103,Site103,18.6375491,35.4991268,3,103
Site104,Site104,19.6375491,36.4991268,3,104
Site105,Site105,20.6375491,37.4991268,3,105
Site106,Site106,21.6375491,38.4991268,3,106
Site107,Site107,22.6375491,39.4991268,3,107
Site108,Site108,23.6375491,40.4991268,3,108
Site109,Site109,24.6375491,41.4991268,3,109
Site110,Site110,25.6375491,42.4991268,3,110
Site111,Site111,26.6375491,43.4991268,3,111
Site112,Site112,27.6375491,44.4991268,3,112
Site113,Site113,28.6375491,45.4991268,3,113
Site114,Site114,29.6375491,46.4991268,3,114
Site115,Site115,30.6375491,47.4991268,3,115
Site116,Site116,31.6375491,48.4991268,3,116
Site117,Site117,32.6375491,49.4991268,3,117
Site118,Site118,33.6375491,50.4991268,3,118
Site119,Site119,34.6375491,51.4991268,3,119
Site120,Site120,35.6375491,52.4991268,3,120
Site121,Site121,36.6375491,53.4991268,3,121
Site122,Site122,37.6375491,54.4991268,3,122
Site123,Site123,38.6375491,55.4991268,3,123
Site124,Site124,39.6375491,56.4991268,3,124
Site125,Site125,40.6375491,57.4991268,3,125
Site126,Site126,41.6375491,58.4991268,3,126
Site127,Site127,42.6375491,59.4991268,3,127
Site128,Site128,43.6375491,60.4991268,3,128
Site129,Site129,44.6375491,61.4991268,3,129
Site130,Site130,45.6375491,62.4991268,3,130
Site131,Site131,46.6375491,63.4991268,3,131
Site132,Site132,47.6375491,64.4991268,3,132
Site133,Site133,48.6375491,65.4991268,3,133
Site134,Site134,49.6375491,66.4991268,3,134
Site135,Site135,50.6375491,67.4991268,3,135
Site136,Site136,51.6375491,68.4991268,3,136
Site137,Site137,52.6375491,69.4991268,3,137
Site138,Site138,53.6375491,70.4991268,3,138
Site139,Site139,54.6375491,71.4991268,3,139
Site140,Site140,55.6375491,72.4991268,3,140
Site141,Site141,56.6375491,73.4991268,3,141
Site142,Site142,57.6375491,74.4991268,3,142
Site143,Site143,58.6375491,75.4991268,3,143
Site144,Site144,59.6375491,76.4991268,3,144
Site145,Site145,60.6375491,77.4991268,3,145
Site146,Site146,61.6375491,78.4991268,3,146
Site147,Site147,62.6375491,79.4991268,3,147
Site148,Site148,63.6375491,80.4991268,3,148
Site149,Site149,64.6375491,81.4991268,3,149
Site150,Site150,65.6375491,82.4991268,3,150
Site151,Site151,66.6375491,83.4991268,3,151
Site152,Site152,67.6375491,84.4991268,3,152
Site153,Site153,68.6375491,85.4991268,3,153
Site154,Site154,69.6375491,86.4991268,3,154
Site155,Site155,70.6375491,87.4991268,3,155
Site156,Site156,71.6375491,88.4991268,3,156
Site157,Site157,72.6375491,89.4991268,3,157
Site158,Site158,73.6375491,90.4991268,3,158
Site159,Site159,74.6375491,91.4991268,3,159
Site160,Site160,75.6375491,92.4991268,3,160
Site161,Site161,76.6375491,93.4991268,3,161
Site162,Site162,77.6375491,94.4991268,3,162
Site163,Site163,78.6375491,95.4991268,3,163
Site164,Site164,79.6375491,96.4991268,3,164
Site165,Site165,80.6375491,97.4991268,3,165
Site166,Site166,81.6375491,98.4991268,3,166
Site167,Site167,82.6375491,99.4991268,3,167
Site168,Site168,83.6375491,100.4991268,3,168
Site169,Site169,84.6375491,101.4991268,3,169
Site170,Site170,85.6375491,102.4991268,3,170
Site171,Site171,86.6375491,103.4991268,3,171
Site172,Site172,87.6375491,104.4991268,3,172
Site173,Site173,88.6375491,105.4991268,3,173
Site174,Site174,89.6375491,106.4991268,3,174
Site175,Site175,90.6375491,107.4991268,3,175
Site176,Site176,91.6375491,108.4991268,3,176
Site177,Site177,92.6375491,109.4991268,3,177
Site178,Site178,93.6375491,110.4991268,3,178
Site179,Site179,94.6375491,111.4991268,3,179
Site180,Site180,95.6375491,112.4991268,3,180
Site181,Site181,96.6375491,113.4991268,3,181
Site182,Site182,97.6375491,114.4991268,3,182
Site183,Site183,98.6375491,115.4991268,3,183
Site184,Site184,99.6375491,116.4991268,3,184
